readmission_reduction_id,provider_id,measure_name,number_of_discharges,footnote,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date
J10038,100035,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10039,100038,READM-30-HF-HRRP,163,,1.1327,24,21.2,46,7/1/09,6/30/12
J1004,100039,READM-30-PN-HRRP,460,,1.0187,18.2,17.9,85,7/1/09,6/30/12
J10040,100040,READM-30-PN-HRRP,232,,1.0872,17.4,16,45,7/1/09,6/30/12
J10041,100043,READM-30-AMI-HRRP,180,,0.9386,16.1,17.1,26,7/1/09,6/30/12
J10042,100044,READM-30-HF-HRRP,422,,1.0642,26.2,24.6,114,7/1/09,6/30/12
J10043,100045,READM-30-PN-HRRP,368,,0.9958,18.8,18.9,69,7/1/09,6/30/12
J10044,100046,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10045,100047,READM-30-HF-HRRP,131,,0.9924,21.7,21.9,28,7/1/09,6/30/12
J10046,100048,READM-30-PN-HRRP,112,,0.9956,16.3,16.4,18,7/1/09,6/30/12
J10047,100049,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10048,10005,READM-30-HF-HRRP,149,,0.8899,18.9,21.3,22,7/1/09,6/30/12
J10049,100050,READM-30-PN-HRRP,193,,0.9653,15.5,16.1,28,7/1/09,6/30/12
J1005,100051,READM-30-AMI-HRRP,513,,1.0448,18.1,17.3,95,7/1/09,6/30/12
J10050,100052,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10051,100053,READM-30-HF-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10052,100054,READM-30-PN-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10053,100055,READM-30-AMI-HRRP,209,,0.9399,19.6,20.9,38,7/1/09,6/30/12
J10054,100057,READM-30-HF-HRRP,510,,0.9096,22.2,24.4,108,7/1/09,6/30/12
J10055,10006,READM-30-PN-HRRP,411,,1.0174,19.5,19.1,81,7/1/09,6/30/12
J10056,100062,READM-30-AMI-HRRP,374,,0.8877,14.8,16.7,50,7/1/09,6/30/12
J10057,100063,READM-30-HF-HRRP,949,,0.9367,21,22.5,196,7/1/09,6/30/12
J10058,100067,READM-30-PN-HRRP,518,,0.9528,16.5,17.4,83,7/1/09,6/30/12
J10059,100068,READM-30-AMI-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J1006,100069,READM-30-HF-HRRP,825,,0.858,19.2,22.4,150,7/1/09,6/30/12
J10060,10007,READM-30-HF-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10061,100070,READM-30-PN-HRRP,0,7,0,0,0,0,7/1/09,6/30/12
J10062,100071,READM-30-AMI-HRRP,30,,1.0526,18.7,17.8,0,7/1/09,6/30/12
J10063,100072,READM-30-HF-HRRP,243,,1.1089,23.6,21.3,63,7/1/09,6/30/12
J10064,100073,READM-30-PN-HRRP,205,,0.9954,16.2,16.3,33,7/1/09,6/30/12
J10065,100075,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10066,100076,READM-30-HF-HRRP,70,,0.9883,20.9,21.1,14,7/1/09,6/30/12
J10067,100077,READM-30-PN-HRRP,120,,1.0012,15.8,15.8,19,7/1/09,6/30/12
J10068,100079,READM-30-AMI-HRRP,0,1,0,0,0,0,7/1/09,6/30/12
J10069,10008,READM-30-HF-HRRP,82,,1.0731,24.5,22.8,24,7/1/09,6/30/12
J1007,100080,READM-30-PN-HRRP,620,,0.8974,15.2,16.9,88,7/1/09,6/30/12
J10070,100081,READM-30-PN-HRRP,102,,0.9466,15.7,16.6,13,7/1/09,6/30/12
